Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-12 12:00:00,60928.21,60919.27,60928.21,60926.42,0.153284,41,9338.7221658
2024-05-12 12:01:00,60936.86,60932.68,60932.68,60936.86,0.047798,10,2912.51664167
2024-05-12 12:02:00,60941.3,60941.3,60941.3,60941.3,0.005307,1,323.4154791
2024-05-12 12:03:00,60941.1,60926.02,60941.1,60926.02,0.119862379904022,25,7303.49993396
2024-05-12 12:04:00,60934.21,60921.33,60921.33,60934.21,0.166714,16,10156.834264
2024-05-12 12:05:00,60936.62,60930.69,60936.62,60930.69,0.007189454841066135,9,438.0740648799999
2024-05-12 12:06:00,60934.21,60930.69,60930.69,60934.21,0.011706,5,713.26064466
2024-05-12 12:07:00,60935.5,60935.49,60935.49,60935.49,0.004216,5,256.90403075
2024-05-12 12:08:00,60952.8,60938.68,60938.68,60952.79,0.061343026824299964,15,3738.39500528
2024-05-12 12:09:00,60966.73,60953.83,60953.83,60966.72,0.07861865935486453,6,4792.47801421
2024-05-12 12:10:00,60987.11,60966.73,60966.73,60987.11,0.05352308728828303,12,3263.52876598
2024-05-12 12:11:00,60987.11,60978.71,60987.11,60980.67,0.2650571224950263,29,16163.63047735
2024-05-12 12:12:00,60980.68,60980.68,60980.68,60980.68,0.005384,1,328.31998112
2024-05-12 12:13:00,60977.67,60974.58,60977.67,60974.59,0.03496443892407658,12,2132.03725408
2024-05-12 12:14:00,60989.89,60980.83,60980.83,60989.89,0.057971,12,3535.28529353
2024-05-12 12:15:00,61012.94,60998.69,60998.69,61005.04,0.12385531801680102,19,7555.95476383
2024-05-12 12:16:00,61012.77,61010.37,61010.37,61012.77,0.032454,6,1980.03740718
2024-05-12 12:17:00,61023.55,61009.34,61009.34,61021.43,0.070133,19,4279.59006292
2024-05-12 12:18:00,61048.72,61023.52,61023.54,61023.52,0.444439,40,27124.93241561
2024-05-12 12:19:00,61018.66,61008.79,61018.66,61008.79,0.020229,5,1234.16600867
2024-05-12 12:20:00,61022.19,61004.03,61004.03,61022.18,0.287589,22,17546.64535083
2024-05-12 12:21:00,61023.53,61012.76,61022.19,61012.76,0.124661,16,7606.72269807
2024-05-12 12:22:00,61011.08,61011.07,61011.08,61011.07,0.003338335763930092,2,203.67545368999996
2024-05-12 12:23:00,61005.99,61005.98,61005.99,61005.98,0.000498,2,30.38098031
2024-05-12 12:24:00,61005.99,61005.41,61005.98,61005.41,0.085091,15,5191.04198773
2024-05-12 12:25:00,61004.57,61004.56,61004.57,61004.56,0.000334,2,20.37552471
2024-05-12 12:26:00,61000.22,60995.23,61000.22,60995.23,0.193636,12,11811.58271576
2024-05-12 12:27:00,61014.72,60987.32,60987.32,61014.72,0.268031,26,16348.48938135
2024-05-12 12:28:00,61012.21,61012.21,61012.21,61012.21,0.004663,1,284.49993523
2024-05-12 12:29:00,61013.11,61013.11,61013.11,61013.11,0.009326,2,569.00826386
2024-05-12 12:30:00,61013.11,61003.86,61013.11,61003.86,0.12776341747253084,19,7795.15964336
2024-05-12 12:31:00,61006.81,61003.87,61003.87,61006.81,0.021404,8,1305.73011158
2024-05-12 12:32:00,61026.03,61006.81,61006.81,61026.03,0.405336,19,24734.49433044
2024-05-12 12:33:00,61038.93,61030.43,61037.74,61034.9,0.21750579395264016,21,13275.5071793
2024-05-12 12:34:00,61034.9,61031.77,61034.9,61031.77,0.006296,2,384.275167
2024-05-12 12:35:00,61045.07,61031.76,61031.76,61045.07,0.15299,12,9338.01112921
2024-05-12 12:36:00,61051.02,61051.01,61051.02,61051.01,0.00077,3,47.00927999
2024-05-12 12:37:00,61051.85,61051.02,61051.02,61051.85,0.0039,3,238.10151116
2024-05-12 12:38:00,61064.08,61056.75,61064.08,61060.74,0.054667,12,3338.10723467
2024-05-12 12:39:00,61060.74,61052.58,61060.74,61052.58,0.037631,9,2297.72660082
2024-05-12 12:40:00,61052.59,61052.58,61052.59,61052.58,0.005314996407032035,4,324.49424840999995
2024-05-12 12:41:00,61051.85,61034.9,61051.85,61034.9,0.035758,5,2182.70126949
2024-05-12 12:42:00,61033.78,61026.06,61033.78,61030.72,0.045072,10,2750.60574292
2024-05-12 12:43:00,61029.62,61029.62,61029.62,61029.62,0.004335767030009362,2,264.61021424999996
2024-05-12 12:44:00,61029.62,61026.06,61029.61,61026.06,0.002953473108631513,3,180.24867609999995
2024-05-12 12:45:00,61045.74,61013.7,61026.05,61045.74,0.20885786950955568,35,12745.10647091
2024-05-12 12:46:00,61054.17,61043.19,61045.74,61054.17,0.008004,6,488.60082366
2024-05-12 12:47:00,61063.85,61052.11,61053.73,61063.85,0.036824,15,2248.40059208
2024-05-12 12:48:00,61069.03,61062.54,61062.54,61069.03,0.046859,15,2861.42812658
2024-05-12 12:49:00,61073.46,61060.98,61073.46,61065.15,0.07590650900702203,25,4635.55771547
2024-05-12 12:50:00,61069.03,61065.14,61065.14,61069.03,0.03924,7,2396.26515015
2024-05-12 12:51:00,61069.03,61069.03,61069.03,61069.03,0.006329,2,386.50589087
2024-05-12 12:52:00,61062.0,61052.11,61062.0,61052.11,0.10207892995788137,15,6232.65000158
2024-05-12 12:53:00,61063.87,61048.56,61049.72,61063.86,0.103646,23,6328.10149469
2024-05-12 12:54:00,61099.99,61063.86,61063.86,61099.99,0.122761,31,7497.32262515
2024-05-12 12:55:00,61099.99,61087.17,61099.99,61087.19,0.084296,20,5150.00542014
2024-05-12 12:56:00,61101.57,61093.31,61093.31,61101.57,0.01549,8,946.40899092
2024-05-12 12:57:00,61121.63,61106.52,61106.52,61121.63,0.060214,10,3679.93609963
2024-05-12 12:58:00,61120.75,61107.84,61120.75,61107.85,0.033334,13,2037.25131378
2024-05-12 12:59:00,61111.41,61103.76,61111.41,61103.76,0.046167,10,2821.16399446
2024-05-12 13:00:00,61097.32,61086.03,61097.32,61086.03,0.04062798324165606,11,2482.04131766
2024-05-12 13:01:00,61073.11,61060.19,61073.11,61060.19,0.0564427047516592,9,3446.94708932
2024-05-12 13:02:00,61047.27,61039.99,61047.27,61039.99,0.018167,3,1108.93655409
2024-05-12 13:03:00,61038.3,61038.3,61038.3,61038.3,0.000745,1,45.4735335
2024-05-12 13:04:00,61047.63,61038.29,61042.74,61038.29,0.119578,23,7299.56248895
2024-05-12 13:05:00,61038.0,61029.04,61038.0,61029.04,0.02553,7,1558.20761471
2024-05-12 13:06:00,61029.04,61024.76,61029.04,61024.76,0.059999,10,3661.59244163
2024-05-12 13:07:00,61027.13,61021.44,61021.45,61027.13,0.153077,24,9341.34514032
2024-05-12 13:08:00,61045.54,61034.36,61034.36,61045.54,0.10161771947270841,8,6202.72403727
2024-05-12 13:09:00,61047.28,61043.96,61047.28,61043.96,0.015247922240270164,7,930.81859459
2024-05-12 13:10:00,61043.97,61032.55,61043.97,61032.55,0.06552,17,3999.29289954
2024-05-12 13:11:00,61037.89,61032.55,61032.55,61034.36,0.118442,27,7229.14659406
2024-05-12 13:12:00,61034.36,61031.23,61031.23,61034.36,0.036088,11,2202.53984392
2024-05-12 13:13:00,61042.65,61037.89,61037.89,61042.65,0.013091442240057772,5,799.12715665
2024-05-12 13:14:00,61042.65,61028.82,61042.65,61028.82,0.27959335610003827,22,17064.02464285
2024-05-12 13:15:00,61024.99,61019.09,61024.99,61019.09,0.029863,9,1822.24553889
2024-05-12 13:16:00,61019.1,61019.1,61019.1,61019.1,0.000579,3,35.3300589
