Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,xBuy,xSell,xProfit,xPosition,xCash,xAvgCost,xBuyOrder,xSellOrder,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2023-11-05,0.1109,0.1232,0.1107,0.116,454162.63004818605,1.0,,0.0948,2024-04-10,0.0,0.116,0.669,4.767241379310345,False,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.052353528517114764,0.0
2023-11-06,0.1159,0.1242,0.1141,0.1217,311844.92649565,1.0,,0.0948,2024-04-10,0.0,0.1217,0.669,4.497124075595727,False,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.1051643835075291,0.0
2023-11-07,0.1218,0.126,0.1177,0.1189,3733573.49345972,1.0,,0.09802833333333333,2024-04-10,0.0,0.1189,0.669,4.626576955424727,False,,,,,,,,,,,,,,,1.0,0.8178135753822139,9/2,4.488883171068912,0.0787687176498689,0.023007395234182382
2023-11-08,0.1187,0.1297,0.1166,0.1281,4925206.3769841,1.0,,0.09531,2024-04-10,0.0,0.1281,0.669,4.222482435597191,False,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.1612005250433,0.0
2023-11-09,0.1282,0.1313,0.1253,0.1261,8040196.346098647,1.0,,0.10404916666666666,2024-04-10,0.0,0.1261,0.669,4.305313243457574,False,,,,,,,,,,,,,,,1.0,0.8178135753822139,9/2,4.488883171068912,0.14495848459909114,0.015612802498048417
2023-11-10,0.1261,0.1265,0.108,0.1207,6385736.46675453,0.0,,0.10266749999999998,2024-04-10,0.0,0.1207,0.669,4.542667771333886,False,,,,,,,,,,,,,,,,,,,,
2023-11-11,0.1207,0.1331,0.1205,0.1289,8162511.623824471,1.0,,0.0967075,2024-04-10,0.0,0.1289,0.669,4.190069821567107,False,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.07187645113273369,0.0
2023-11-12,0.1289,0.1369,0.1261,0.131,8053862.71352261,1.0,,0.10448749999999998,2024-04-10,0.0,0.131,0.669,4.106870229007634,False,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.07132737511548845,0.0
2023-11-13,0.1311,0.1584,0.1283,0.1493,9121824.165842015,1.0,,0.10619666666666666,2024-04-10,0.0,0.1493,0.669,3.4809109176155397,True,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.20020241768208674,0.0
2023-11-14,0.1493,0.1701,0.1414,0.1537,8552654.89425433,1.0,,0.12292166666666665,2024-04-10,0.0,0.1537,0.669,3.3526350032530905,True,,,,,,,,,,,,,,,1.0,0.9088861824948964,10/1,9.975283743707422,0.2410910158153009,0.0
