Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,sPnLRatio,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2024-08-31 13:34:00,59268.3,59280.44,59268.3,59280.43,139412.76123699,0.0,59453.12633713369,59241.52428571429,2024-08-31 13:49:00,0.0,59280.43,59282.59142857143,3.646108119381708e-05,True,59280.44,,,0.0008428554932685346,49.95209018250049,59280.44,,,,,,,
2024-08-31 13:35:00,59280.42,59292.51,59280.42,59292.4,41716.75208769,0.0,59444.30751511758,59253.64642857143,2024-08-31 13:49:00,0.0,59292.4,59282.59142857143,-0.00016542712773592871,False,,,,,,,,,,,,,
2024-08-31 13:36:00,59292.39,59297.66,59281.55,59281.55,41093.57652944,0.0,59435.80673684384,59265.32071428571,2024-08-31 13:49:00,0.0,59281.55,59282.59142857143,1.7567499018378285e-05,False,,,,,,,,,,,,,
2024-08-31 13:37:00,59281.55,59281.56,59272.89,59273.84,66020.5913545,0.0,59430.91031521801,59253.61785714286,2024-08-31 13:49:00,0.0,59273.84,59282.59142857143,0.00014764402932954113,False,,,,,,,,,,,,,
2024-08-31 13:38:00,59273.85,59276.0,59273.85,59276.0,1458.8831078199999,0.0,59424.16061188378,59246.88071428571,2024-08-31 13:49:00,0.0,59276.0,59282.59142857143,0.00011119894344147063,False,,,,,,,,,,,,,
2024-08-31 13:39:00,59276.0,59292.03,59271.11,59271.11,54980.55535545,0.0,59421.31104199717,59255.15214285714,2024-08-31 13:49:00,0.0,59271.11,59282.59142857143,0.0001937103687013053,False,,,,,,,,,,,,,
2024-08-31 13:40:00,59271.02,59271.02,59271.01,59271.01,9451.53403874,0.0,59416.83381198781,59250.29214285714,2024-08-31 13:49:00,0.0,59271.01,59282.59142857143,0.00019539786096833822,False,,,,,,,,,,,,,
2024-08-31 13:41:00,59271.02,59274.32,59271.02,59274.31,5205.371006421588,0.0,59413.194861173826,59255.540714285715,2024-08-31 13:49:00,0.0,59274.31,59282.59142857143,0.00013971362250253527,False,,,,,,,,,,,,,
2024-08-31 13:42:00,59274.32,59279.02,59274.32,59279.02,191.69512958,0.0,59398.795329356646,59260.73285714285,2024-08-31 13:49:00,0.0,59279.02,59282.59142857143,6.0247766771936995e-05,False,,,,,,,,,,,,,
2024-08-31 13:43:00,59280.43,59280.43,59274.98,59274.98,690.18422499,0.0,59382.28688180774,59267.02428571428,2024-08-31 13:49:00,0.0,59274.98,59282.59142857143,0.00012840879189557342,False,,,,,,,,,,,,,
2024-08-31 13:44:00,59274.98,59274.98,59274.97,59274.98,13901.19804142,0.0,59378.34093126764,59265.268571428576,2024-08-31 13:49:00,0.0,59274.98,59282.59142857143,0.00012840879189557342,False,,,,,,,,,,,,,
2024-08-31 13:45:00,59280.45,59280.45,59280.45,59280.45,1067.0481,0.0,59374.810728883145,59267.12428571429,2024-08-31 13:49:00,0.0,59280.45,59282.59142857143,3.6123689537426174e-05,False,,,,,,,,,,,,,
2024-08-31 13:46:00,59284.0,59287.83,59281.91,59287.83,66.9907319,0.0,59377.31641461363,59271.885,2024-08-31 13:49:00,0.0,59287.83,59282.59142857143,-8.835829256303995e-05,False,,,,,,,,,,,,,
2024-08-31 13:47:00,59287.83,59287.87,59287.83,59287.87,532.10842121,0.0,59379.59121640522,59282.16642857143,2024-08-31 13:49:00,0.0,59287.87,59282.59142857143,-8.903290721307133e-05,False,,,,,,,,,,,,,
2024-08-31 13:48:00,59283.95,59291.17,59283.95,59289.08,7180.10680936,0.0,59382.63182609215,59282.21928571429,2024-08-31 13:49:00,0.0,59289.08,59282.59142857143,-0.00010943957012943262,False,,,,,,,,,,,,,
2024-08-31 13:49:00,59289.08,59289.08,59250.97,59255.03,193639.98186484,0.0,59384.61660812213,59282.59142857143,2024-08-31 13:49:00,0.0,59255.03,59282.59142857143,0.00046513230305400555,False,59280.44,59282.59142857143,3.629238533697787e-05,0.0,99.91874802326606,59280.44,0.0007258477067395568,,,,,,
2024-08-31 13:50:00,59244.08,59244.08,59244.07,59244.07,8841.76323901,0.0,59389.855478022204,59241.38428571429,2024-08-31 13:58:00,0.0,59244.07,59232.79,-0.0001903988027831538,False,,,,,,,,,,,,,
2024-08-31 13:51:00,59249.62,59256.09,59249.62,59251.91,21158.61899861,0.0,59389.94049629066,59240.1,2024-08-31 13:58:00,0.0,59251.91,59232.79,-0.00032269001961293675,False,,,,,,,,,,,,,
